Invoice Number,"Long,Lat"
21/DR/SDL/04251,"77.2322, 28.50774"
21/DR/SDL/04295,"77.229184, 28.510523"
21/DR/SDL/04004,"77.236836, 28.50576"
21/DR/SDL/04195,"77.236836, 28.50576"
21/DR/SDL/04274,"77.236836, 28.50576"
21/DR/SDL/04190,"77.230333, 28.500982"
21/DR/SDL/04082,"77.230689, 28.5156"
21/DR/SDL/04285,"77.230689, 28.5156"
21/DR/SDL/04219,"77.232985, 28.513399"
21/DR/SDL/04305,"77.224449, 28.53449"
21/DR/SDL/04292,"77.230816, 28.509318"
21/DR/SDL/04317,"77.23816, 28.499155"
21/DR/SDL/04197,"77.230963, 28.509156"
21/DR/SDL/04300,"77.229456, 28.512562"
21/DR/SDL/04299,"77.232059, 28.49873"
21/DR/SDL/04301,"77.232361, 28.510072"
21/DR/SDL/04065,"77.242195, 28.505643"
21/DR/SDL/04167,"77.245324, 28.497014"
21/DR/SDL/04272,"77.243527, 28.495242"
21/DR/SDL/04239,"77.2467717, 28.5010649"
21/DR/SDL/04330,"77.229064, 28.499027"
21/DR/SDL/04234,"77.2350867, 28.5007043"
21/DR/SDL/04328,"77.2350867, 28.5007043"
21/DR/SDL/04098,"77.2350867, 28.5007043"
21/DR/SDL/04343,"77.2350867, 28.5007043"
21/DR/SDL/04169,"77.240557, 28.497479"
21/DR/SDL/04256,"77.240872, 28.494332"
21/DR/SDL/04147,"77.243456, 28.495243"
21/DR/SDL/04352,"77.244149, 28.507539"
21/DR/SDL/04321,"77.240848, 28.494287"
21/DR/SDL/04287,"77.237661, 28.495542"
21/DR/SDL/04163,"77.251742, 28.502132"
21/DR/SDL/04351,"77.2449756, 28.4954486"
21/DR/SDL/04258,"77.239447, 28.497636"
21/DR/SDL/04325,"77.23258, 28.497874"
21/DR/SDL/04293,"77.237352, 28.49507"
21/DR/SDL/04228,"77.230308, 28.501075"
21/DR/SDL/04383,"77.230308, 28.501075"
21/DR/SDL/04326,"77.160306, 28.56075"
21/DR/SDL/04250,"77.142578, 28.538338"
21/DR/SDL/04261,"77.167137, 28.548561"
21/DR/SDL/04265,"77.14845, 28.536871"
21/DR/SDL/04334,"77.146789, 28.531232"
21/DR/SDL/04335,"77.174015, 28.564569"
21/DR/SDL/04313,"77.166157, 28.506617"
21/DR/SDL/04348,"77.152869, 28.526714"
21/DR/SDL/04371,"77.174428, 28.554805"
21/DR/SDL/04373,"77.170327, 28.557405"
21/DR/SDL/04235,"77.175865, 28.524385"
21/DR/SDL/04241,"77.123378, 28.473579"
21/DR/SDL/04001,"77.189824, 28.499157"
21/DR/SDL/04247,"77.129868, 28.477041"
21/DR/SDL/04280,"77.175303, 28.524629"
21/DR/SDL/04286,"77.173636, 28.522511"
21/DR/SDL/04307,"77.177394, 28.523065"
21/DR/SDL/04382,"77.152188, 28.529008"
21/DR/SDL/04238,"77.306644, 28.519979"
21/DR/SDL/04281,"77.306644, 28.519979"
21/DR/SDL/04236,"77.287404, 28.567184"
21/DR/SDL/04380,"77.322688, 28.497023"
21/DR/SDL/04350,"77.3111, 28.506917"
21/DR/SDL/04135,"77.286509, 28.670499"
21/DR/SDL/04389,"77.313408, 28.500261"
21/DR/SDL/04303,"77.298986, 28.549968"
21/DR/SDL/04339,"77.291444, 28.501034"
21/DR/SDL/04322,"77.311814, 28.498242"
21/DR/SDL/04342,"77.311502, 28.506525"
